id,type,text,stance
3-15,comment1,最后一段总结到位,against
3-16,comment1,有没有可能是被开了，非得说自己裸辞,against
3-17,comment1,最主要还是看他的积累程度和认知度速度，速度够快三五年也能出来了，但是大多数大学生都是太着急，没有踏踏实实认真认识社会。  但是这么光冕堂皇的说终于裸辞确实太夸张了，才一两年应该是偷偷裸辞啊,against
4,background,【#裸辞旅游情侣回应质疑#：花的都是自己钱 我俩敢想敢做】杭州#情侣3年2次裸辞游遍中国# ，这对20多岁的情侣成了“网络红人”，他俩在3年时间里两次“裸辞”，自驾环游全国。但也有网友提出质疑：“旅游的钱哪来的，是不是啃老？”“动不动就辞职，让用人单位怎么想？”就连家人也有些不理解，认 ​​​,against
4-1,comment1,闲着蛋疼吗，人家想裸辞就裸辞，想旅游就旅游，挨着其他人什么事,favor
4-1-1,comment2,正解,favor
4-1-2,comment2,啃老啃的理直气壮的，还一个个都羡慕，自己肩膀上的担子将来都是扔给父母去扛,against
4-1-3,comment2,羡慕啊，没生孩子之前才能做到这样，生了孩子就没有这么自由了，好好珍惜现在还能说走就走，只要没影响别人，自己想做什么就做什么，现在能活的这么随心的人真的很少。,favor
4-1-4,comment2,助长社会的享乐主义风气懂不，他们动的的首付钱，至于现在增加曝光度，不过也是想利用这个炒作来挣钱，不信过段时间看，绝对会成自媒体什么的，不否认这是一种挣钱方式，但不能鼓励这种想法和做法，毕竟只会给社会带来负面的影响，年轻人，还是要奋斗，才有未来。,against
4-1-8,comment2,我也是裸辞!做自己喜欢的猫舍。每天撸猫泡茶逗鸟。。。然后活成了以前同事眼里的一个退休干部的生活。。。。但是他们哪里知道我根本没有节假日了。。。,favor
4-1-9,comment2,玩的比较疯狂的时候一年去四次长途旅行 明显感觉到朋友圈醋意越来越浓 评论都是 你又又又又又出去玩啦 自我反省一下 出去玩是自己的事情 也没花别人的钱 但是这种分享几乎是等同于炫富 现在基本不发了,favor
4-1-14,comment2,我也觉得 他们只是做了很多人羡慕的事,favor
4-1-17,comment2,生活就该做想做的事，比如纹个半永久眉毛~,favor
4-1-22,comment2,哈哈哈对啊，辞职还要挨骂，这社会干啥不被人说啊，求解,none
4-1-27,comment2,对，裸辞碍着谁的事，谁规定必须找好下家才能辞职,favor
4-1-28,comment2,谁能科普一下裸辞是啥意思,none
4-1-29,comment2,人家想干嘛干嘛，又不违法，想旅游旅游，想裸辞裸辞，怎么了？又没花喷子得钱。毛病,favor
4-1-31,comment2,理科学霸顾未易同学：关你屁事,none
4-1-33,comment2,我也想自驾游，就缺女朋友了,none
4-1-35,comment2,不辞职旅游难道请假旅游？那要怎么才能旅游？难道只有被炒的时候才能旅游？,favor
4-1-36,comment2,对啊，只要他们用的是自己的钱，可是他们是吗？,against
4-1-41,comment2,那为啥还上新闻了~不上新闻鬼知道他们，爱干嘛干嘛，就算是上了新闻，也就是闲着没事看到了随便发表一下,none
4-1-42,comment2,我也是裸辞啊，4月份开始就去了我很想去的四川，做自己想做的事情真的很开心。每天上班都很有情绪，对自己对同事对公司都不好,favor
4-1-43,comment2,什么叫回归正常生活。。。。。自己想要的生活就是正常的生活啊。。,favor
4-1-44,comment2,是呀,favor
4-1-45,comment2,对的 什么时候辞职还要考虑用人单位的感受了。。,favor
4-1-46,comment2,自己的人生自己做主，青春是短暂的，人家爱干嘛干嘛咱也管不着,favor
4-1-47,comment2,到底是在酸什么啊,none
4-1-48,comment2,我是一名创业失败的大学生，现在改当厨师了，希望大家能鼓励一下对生活失去信心的我。不要钱，只要关注,none
4-1-51,comment2,说的不错，生命只有一次，自己做主……,favor
4-1-52,comment2,我也这么说，网友真的闲得蛋疼。,favor
4-1-53,comment2,对啊，人家又没犯法，花自己钱爱怎么玩就怎么玩！我有这种勇气我也想去,favor
4-1-54,comment2,啥叫裸辞我理解成裸着旅游大家不愿意,none
4-1-55,comment2,说的对,favor
4-1-56,comment2,就是啊，一个个的以为自己多牛逼去管别人的事，先把自己整好再说吧,favor
4-1-57,comment2,因为他俩做的事儿 网友也想做 光特么敢想 没那条件和勇气去做 别人做到了 吃不到葡萄说葡萄酸,favor
4-1-57-2,comment3,说的太对了！一群吃不到葡萄说葡萄酸的人！,favor
4-1-58,comment2,希望大家都能牢记两点：没花你钱，没碍你事，所以关你p事,favor
4-1-58-2,comment3,那也不要占公共资源，浪费我们的眼睛好不好,against
4-1-58-3,comment3,所以才会有这样一句话：世上的事无非两种，关我屁事，关你屁事,favor
4-1-58-5,comment3,舒服,none
4-1-59,comment2,我寻思人家也没花网友的钱吧 一个个激动啥啊在这儿,favor
4-1-62,comment2,就是,favor
4-1-63,comment2,所以现在网络上嘴贱的太多 啥都想喷 就仗着人家顺着网线找不到他,none
4-1-66,comment2,啊真的尤其是那句“动不动就辞，让用人单位怎么想”，你他妈爱怎么想怎么想，劳资上班看人眼色下班看人眼色应酬看人眼色，干的不舒服了辞职还要看人眼色？？？,favor
4-1-66-1,comment3,极度舒适,favor
4-1-68,comment2,我也想说，那是他们的自由，趁年轻做点自己喜欢的事情挺好的呀,favor
4-3,comment1,一群咸鱼在质疑一对鸳鸯的感觉。,none
4-3-2,comment2,实名羡慕，但是没有实力,favor
4-3-3,comment2,希望这对鸳鸯以后出什么事不要搞什么水滴筹之类的，并不是诅咒别搞得跟罗一非事件一样，后面再让网友挖坟就很尴尬的,none
4-3-4,comment2,哪个说自己有几套房的有点搞笑哦,none
4-3-6,comment2,哈哈哈酸菜鱼！！！,none
4-3-12,comment2,这层那个emmmm  我没见谁费心你啊？你在那说啥呢,none
4-3-14,comment2,我觉得酸菜鱼比较多又酸又菜又多余,none
4-3-14-1,comment3,哈哈哈哈哈哈哈哈酸菜鱼 学到了,none
4-3-16,comment2,倒不是酸或质疑，主要是怕出现好多跟风的，乱套了。,none
4-3-16-1,comment3,请问乱什么套呢？是不跟你买房子了还是咋滴？真不知你们网友操心别人的事干啥,none
4-3-16-1-1,comment4,怕别人跟风啊。,none
4-3-17,comment2,吓死，羡慕鸳鸯？？？有时候总听到别人说单身狗可怜，肯定很羡慕别人成双成对？what？？？丑的死的男的女的腻来腻去你觉得那是撒狗粮？？我真是谢谢某些网友，那是辣眼睛都来不及，还别说让人羡慕了，我不泼滚烫的开水烫掉他们一身鸡毛都阿弥陀佛感谢自己了！！,against
4-3-18,comment2,我也超羡慕这种，年轻不做想做的事，未必老了还有很多机会？怕是怕只能选择拔不拔管咯,favor
4-3-19,comment2,本咸鱼翻了个身然后继续咸,none
4-3-19-1,comment3,躺在床上看着你的评论翻了个身,none
4-3-24,comment2,哇 太对了 毕竟咸鱼永远在水里  而鸳鸯可以上岸,favor
4-3-24-2,comment3,？？咸鱼是干的,none
4-3-24-2-1,comment4,不要在意细节嘛。。知道是鱼的意思就好了,none
4-4,comment1,大家真的是闲得蛋疼，管你们啥子事。我女儿以后要想去环游，我有条件我也会赞助。读万卷书行万里路，为以后的人生道路铺垫哪点不好,favor
4-4-1,comment2,就是的！管他们什么事呢！我小时候家里穷，哪儿没去过，后来我工作之后自己存钱，每年去国外旅行一次，一年一个国家，现在也去了三四个国家了。见得多了眼界才会更开阔,favor
4-4-1-1,comment3,对，有句老话就叫“见多识广”,favor
4-4-2,comment2,有的人爹妈从来不给，就是呗，我反正以后挣了钱都给孩子用,favor
4-4-3,comment2,杠精比较多，又没有花你们钱，多管闲事。就是羡慕嫉妒恨吧。,favor
4-4-4,comment2,其实我有钱也想去走遍万里河山，但是要工作。我觉得只要物质条件允许，完全没得问题。我不知道有些网友为啥对别人的生活那么质疑，子非鱼，安知鱼之乐。,favor
4-6,comment1,人家旅游关你什么事了？用你的钱了？骗你众筹去旅游了？喷的都是羡慕人家的吧？,favor
4-6-1,comment2,其实就是羡慕人家闲的蛋疼,favor
4-6-2,comment2,怎么是网友闲的呢？原来那新闻里说了旅游归来婚房买不起了，工作找不到了，父母着急了，难道不是因为这些网友才觉得他们的做法唐突吗？如果他们旅游归来工作找到更好的，婚房也买到了一起如意开心，那网友当然不会说什么了，网友也是替他们着想啊，结果一句敢想敢做评论风向就变了，呵呵,against
4-6-2-3,comment3,那也是别人的事不是吗，你自己的事没管好，管别人的事干嘛,favor
4-6-4,comment2,对啊，人家想裸辞就裸辞，想旅游就旅游，挨着其他人什么事,favor
4-7,comment1,这波网友真是管得太宽了，人家家庭有实力啃老怎么了，人家父母乐意怎么了？,favor
4-7-2,comment2,父母很生气，因为他们钱不够还动用了买婚房的首付，导致现在房价涨了资金缺口越来越大。估计父母还得再出一次首付的钱才行。到最后到底花了谁的钱呢？？？虽然跟吃瓜的我们没有关系，但我们大部分应该都不会用父母这么多钱去旅行。,against
4-7-5,comment2,没看早上的标题吗？人家父母很生气,against
4-7-5-2,comment3,人家父母只是不理解为啥不能用旅游的钱买房子，人两口子不想被房子套一辈子，做自己想做的事情又不犯法,favor
4-7-5-2-1,comment4,因为什么不乐意跟我有什么关系，我只是纠正层主一个错误，早上新闻里说了人家父母不乐意，并且还生气,against
4-7-5-2-1-1,comment5,都是媒体说的，人家父母到底生没生气全靠媒体一张嘴,none
4-8,comment1,听着他说的话，就很“文青”。,against
4-8-9,comment2,他在读什么……,none
4-9,comment1,人生不是被房子工作束缚的  每个人看待人生都不一样  所以我们不能用自己的想法去质疑别人    我自己是挺喜欢他们的生活方式玩完再努力赚更多的钱   更有动力吧！,favor
4-9-1,comment2,还有诗和远方！,favor
4-9-2,comment2,我也觉得，之前看了些各地景色的节目，当时就感慨真的好想去踏遍万里河山。多出去旅游遇见不同的人，真的会获得很多。而且心情都很好。不必为了房子孩子操心一辈子。当然，没有钱还是努力工作吧,favor
4-9-2-1,comment3,对啊  梦想是环游世界   然后赚钱存钱旅游,favor
4-9-3,comment2,评论中觉得你是一个很懂生活的女孩子,favor
4-9-3-1,comment3,因为我也特别喜欢旅游,favor
4-9-3-1-1,comment4,同道中人,favor
4-10,comment1,为什么说回归正常生活？难道只有工作，买房，结婚，生子才叫做正常生活吗,favor
4-10-2,comment2,跟我想打一样,favor
4-10-3,comment2,跟我想法一样,favor
4-10-4,comment2,现在都不想结婚生子了,none
4-11,comment1,很勇敢的一种表现 ，很欣赏你们的无所顾忌，不枉来到这个世界,favor
4-12,comment1,人家花自己的钱，和你们有什么关系吗,favor
4-12-2,comment2,人家花自己的钱，和你有什么关系吗,favor
4-12-2-1,comment3,这也能肛？你专业肛精吗,none
4-13,comment1,作为以后应该是hr的我，我也会对他们的公司和工作的责任心产生质疑，可能不会雇佣他们。当然这个是他们自己的选择，而且有经济实力，所以旁人也不要随意评判。,against
4-13-3,comment2,你脾气真好,none
4-13-5,comment2,我看了一眼回复，才发现你被喷得好惨,none
4-13-5-1,comment3,无所谓，我佛了。理性讨论或是说话别那么难听我都觉得可以，但是下面有些人说的是啥啊,none
4-13-7,comment2,我看这条微博里评论的说网友多管闲事，我看也没几个喷的吧，倒是那些人到处说别人酸，说别人咸吃萝卜淡操心，我也是醉了,none
4-13-9,comment2,所以说不辞职旅游，难道请假旅游？五一都只放一天假还会给旅游假批？,favor
4-13-11,comment2,哈哈，真不是酸，两个人的勇气和对生活的态度是让人羡慕，现实一点说，这一曝光出来，真的没几家单位敢收了,against
4-13-11-1,comment3,不一定，我之前同事就辞职旅游一年了，现在在携程工作，专门做旅游的，现在免费吃住玩，只要回来写个游记,favor
4-14,comment1,现在不玩，等有孩子就走不了了，别问我怎么知道的,favor
4-14-1,comment2,我同学超爱玩的，结果现在生了孩子天天围着孩子，看的我都不敢生孩子了,favor
4-15,comment1,吃瓜群众表示很羡慕不曾嫉妒，我们都是被生活绑架的人，有啥资格质疑人家的生活,none
5,background,像#裸辞旅游情侣回应质疑#这类故事，不一定是两个人有意识的瞎编故事，更可能的是两个成年人对钱没概念。这样对钱没概念，家庭条件中上的人其实很多很多。就是一边让父母负重前行，一边说自己独立自主。他们的故事你可以看一下图一二三。 他们的故事是这样的，三年里面一年多都在旅游。两个人自称工 ​​​,against
5-1,comment1,然后女的看到以后压力这么大，就抛弃现在男朋友，换了个有房子的。这男的就悲剧了，人财两空。150万首付都凑不齐了，，干脆自暴自弃，人生结束。,against
5-1-3,comment2,有房有车的男人是不是可以找个更好更漂亮更年轻更拎得清的女人娶回家,none
5-1-11,comment2,人都是要面对现实的 虽然我每次去旅游都会觉得过的是想要的生活 但还是要回来的,against
5-1-12,comment2,朋友下班了吗？看看你的id，好好搬砖呀,none
5-1-13,comment2,2019帮你脱单，有这掌纹的人，爱情事业双丰收，看看你有没有？ ​​​,none
5-1-16,comment2,故事你来写,none
5-1-17,comment2,有这掌纹的人，爱情事业双丰收，看看你有没有？ ​​​,none
5-1-23,comment2,你咋这优秀，肯定在开车,none
5-1-25,comment2,有房子的能看得上这样的人？人家房子也不是刮大风来的。,against
5-1-25-1,comment3,如果是拆迁户算大风刮来的房子吗哈哈哈哈哈哈哈,none
5-1-25-1-1,comment4,拆迁大户也不傻，人家通常找别的拆迁户,none
5-2,comment1,白左、文青害人不浅，现在年轻人已经把吃苦耐劳忘光了。。。,against
5-2-3,comment2,弱弱地问一句，白左是什么意思？,none
5-2-5,comment2,人家想买就买不买就不买还扯上现在年轻人价值观了，人生就活一次怎么活自己觉得对又不触及法律就可以了,favor
5-2-7,comment2,智商税永远收不完,none
5-2-8,comment2,事实证明，活着并没有那么难，难的是经历，人生本来就起伏，一场大病可能会让几个，几十个人都难过，不说及时行乐吧，那也要珍惜每一天，你能决定的仅是现在，文青如果是对一种人的定义，那能吃苦的定义是什么？,favor
5-2-8-2,comment3,人能享福干嘛要吃苦，省吃俭用供房子自己到头来除了房产证还能剩什么？三观不同可以理解，但是别把自己的想法当真理，吃苦耐劳是解放时期宣扬的，那您要不要把嫡长子继承制一起继承了？,favor
5-2-9,comment2,花着自己赚的钱，想干什么就干什么，为什么不行呢,favor
5-3,comment1,会不会是一次营销？,against
5-3-1,comment2,我看那个地图上有个旅游公司的名字,none
5-3-4,comment2,就算人家是营销，也没偷没抢，没违反任何道德,favor
5-4,comment1,网上就是图4这种口嗨的人太多了，150万好像随随便便就能从天上掉下来一样,against
5-4-1,comment2,进来口嗨,none
5-4-2,comment2,图4是友军。。。,none
5-4-3,comment2,那个应该是友军。。。别误伤了,none
5-4-3-1,comment3,怎么看出来是友军的？,none
5-4-3-1-1,comment4,但是不加，一律厚葬,none
5-4-3-2,comment3,不加一律厚葬,none
5-4-3-2-1,comment4,哈哈哈哈哈哈那还得多加几个,none
5-5,comment1,微博评论真的显得很低龄，要么把现实想象成一个童话，要么扭曲成地狱。这种黑白分明，二元对立的价值观，正是幼稚和无知的体现。对应之前媒体公布的微博学历分布，真是让人笑掉大牙,none
5-5-1,comment2,微博地域黑那么多,none
5-5-2,comment2,现在微博评论区本来就是低龄群体为主。,none
5-5-6,comment2,招网拍,none
5-6,comment1,钱的问题，最后一段其实很清楚了，肯定是用了父母的钱而不是两个人积攒的钱。,against
5-6-1,comment2,人家用你爸妈的钱了？管的真宽,favor
5-6-1-1,comment3,你这ID不错，ID如人,none
5-6-1-1-1,comment4,你的ID也不错，ID如人,none
5-6-1-2,comment3,人管了吗？你从哪儿看出了管？人就陈述事实而已,against
5-6-1-2-1,comment4,那你说什么叫管,none
5-7,comment1,这都是别人的事，你只需要知道，与你无关，与我们无关，就ok了，怎么开心怎么过，至于后来怎么样，那也是别人的家事，轮不到别人来管，也不需要别人评判,none
5-7-2,comment2,这个小姐姐说话欠赞哦！虽然我也不认同裸辞，但也确实关我屁事，关你屁事,against
5-7-3,comment2,说出来了影响你生意了吧？,against
5-7-3-1,comment3,？我一个学生，我啥生意？,none
5-7-4,comment2,说出来了影响你生意了吧？,none
5-7-6,comment2,还不许别人评论了，你要堵住别人的嘴？你就是未来的red领导人候选？,none
5-7-6-1,comment3,我又没说不准别人分析了,none
5-8,comment1,买250w的房子都吃力的家庭能算得上中上么？这就是个普通人家的经济条件，养活这一个富二代。不明白他们当初把这件事发出来干嘛啊？希望别人赞他们？可能他们觉得网友跟他们一样无知吧。,against
5-8-6,comment2,付的起75万首付，怎么也前5%了。中上不过分,favor
5-8-6-1,comment3,我和我媳妇儿在广州去年买了房子。首付100w我们是下等人。没钱没靠父母。（我没有父母了，媳妇儿父母给了不到20w）也不知道哪里来的这么多钱反正是买上了。现在好穷…,none
5-8-6-2,comment3,这个就未必了，说要给孩子买房结婚亲朋好友一般都会借一点。,against
5-8-6-2-1,comment4,中上的比例是多少？,none
5-8-7,comment2,女的开了公众号,none
5-9,comment1,别人怎么活，外人插不上嘴。但是对于自己的子女，会教育他们量力而行，先囤资产再消费,against
5-9-1,comment2,菜菜那里不忙了吗,none
5-9-1-1,comment3,放风鸭,none
5-10,comment1,这种旅游除了当时爽，估计得后悔一辈子.年轻就得拼搏，除非旅游能赚钱..把自己搞成网红之类.,against
5-11,comment1,这是好事啊，有了这些人的消费主义我们才能过的更好。,favor
5-11-1,comment2,对！！！支持,favor
5-11-2,comment2,对哦,favor
5-11-3,comment2,也是，大家都理性了，谁来交智商税,favor
5-13,comment1,要是自己挣的钱，爱咋花咋花。不过如果是花父母的啃老，那就真是混蛋了,against
5-13-1,comment2,其实自己挣的钱也不能爱咋花咋花，因为父母抚养的义务完成了，子女应尽的赡养义务不能没有钱,against
5-14,comment1,要求还挺高，想买的房居然是排屋，装修怎么也得100万左右吧，年轻人会享受不会赚钱，真是挺可怕的。,against
5-14-2,comment2,从结果来看 是很不错的投资 从250w涨到了400w,none
5-15,comment1,有能耐不用父母支持买房，再嘚瑟,against
5-16,comment1,当事人确实说得有道理。本来计划用于首付款的钱是父母转账到他们卡里的，他花自己卡里的钱当然就是花自己的钱啊很羡慕,favor
6,background,【杭州情侣3年两度裸辞旅行 ：做了别人想做但没做的事】#裸辞旅游情侣回应质疑#  近日，浙江杭州。一对情侣3年两度裸辞，花费50多万环游中国。小伙告诉澎湃新闻，只是做了99%的人想做但没做的事。一起聊聊，你#想做但没做的事# 是什么呢，都是什么样的原因呢？（视频来源：相关人士 ​​​,favor
6-1,comment1,是的，首先99%的年轻人没那么多钱,against
6-1-1,comment2,没钱的就喜欢装有钱。然后装模作样侃侃而谈。实际上这种人才是最low,against
6-2,comment1,闲着蛋疼吗，人家想裸辞就裸辞，想旅游就旅游，挨着其他人什么事,favor
6-2-1,comment2,花自己钱当然没问题，啃老旅游有点无耻吧。不是说用光父母给的首付么？看之前报道就是父母在抱怨啊。,against
6-2-2,comment2,因为有群loser酸啊,favor
6-4,comment1,看评论，这是有多少人压根就没看视频在发言啊！另外，我只想说，三年中雇佣这两位的单位，也是触霉头。一般一个刚毕业不久的新进员工，稳定培养半年以上才有可能给单位踏踏实实挣到钱，一年半就走人，单位重新培养新人起来，前后白白浪费一年至少。可叹。,against
6-4-2,comment2,赞同,against
6-5,comment1,绝对认同！趁你年轻、趁你精力足、趁你有这激情，去做你想做的！至于其他，旅游回来后，沉淀自己，可以再来。,favor
6-6,comment1,五十万怎么来的呢，肯定不是自己挣的吧？,against
6-9,comment1,我看成了裸体旅行,none
6-11,comment1,月薪       只      有    六七千，我是拖后腿了吗,none
6-12,comment1,最关键的是他俩都有一个殷实的家庭做后盾！普通年轻人学不来……,none
7,background,#裸辞旅游情侣回应质疑# 讲个故事吧。 我妈的好朋友，夫妇都是退休小学教师，退休金一万多。他们有一个女儿，给女儿买房、买车、带外孙。女儿公务员，月薪7000多，不够花，因为要吃土鸡蛋、有机蔬菜、燕窝，要背名牌包，要海外旅游。所以这位妈妈的退休金银行卡一直在女儿手里。五一旅行，钱不 ​​​,against
7-1,comment1,买房买车也不叫啃老，服气,against
7-1-9,comment2,对了，你爸妈为什么没出息啊？？？你回答一下啊,none
7-1-9-1,comment3,服，大写的福！哈哈哈，看看评论，到底是谁丧失了理智？,none
7-2,comment1,老人的钱买车买房不叫啃老，什么叫啃老？,against
7-2-5,comment2,我爸妈已经有两套房了，在我不需要的情况下执意给我买了房。他俩已经一人一辆车了，还非要给我买，我因为觉得没必要，一直拒绝。那我这是，被迫啃老？,none
7-4,comment1,目前俩女儿。。。我妈在我二胎刚出院开始催三胎要男孩。。已和我妈断绝联系,none
7-4-1,comment2,你妈是怕你给婆家欺负，没个男孩,none
7-4-1-1,comment3,婆家至少不会在出院说,none
7-4-1-1-1,comment4,我怀孕的时候我妈就很怕我生个女儿，因为我妈生两个女儿，我奶奶爷爷以前很欺负她，对她不怎么好，我爸那时候也不争气，令我妈受了很多委屈,none
7-4-1-1-1-1,comment5,那看婆家了……我婆家不会……虽然也重男轻女……但是对我女儿对我都很好，所以不求男孩，随缘吧,none
7-6,comment1,博士学位的说话水准，也是厉害了,against
7-6-2,comment2,博士学位该怎样说话才能达到你的心理预期？,none
7-7,comment1,公务员工资那么高的吗,none
7-7-1,comment2,老梁不是公务员，她放弃体制内的医院现在在高档私立医院，所以不要拿公务员的工资去衡量收入,none
7-7-2,comment2,杭州都不止这个薪资，这只是阳光工资,none
7-8,comment1,贫家富二代,none
7-9,comment1,恳请老梁指点加油一位男孩儿该咋养？,none
7-9-1,comment2,你在他微博下搜婆婆，应该有相关信息,none
7-10,comment1,介绍完啃老和借力起飞，说说穷人家的孩子该咋办吧,none
7-10-1,comment2,该自己个儿努力，不让你的孩子埋怨你穷父母还不努力啊,none
7-10-1-1,comment3,就是问方法啊,none
7-10-1-1-1,comment4,赚钱啊,none
7-12,comment1,看了半天没有裸辞的回应啊我有蒲沺运动鞋黑幕可以看看哦，别再被坑了,none
7-13,comment1,我买楼我父母一毛钱都不给，我弟弟借人钱，我妈还，房子车孑我妈买，现在退休了还每月保底一万给弟弟和弟媳用，问世间有多么不公平！,none
7-14,comment1,转发存档,none
